archivo_original,nombre_cloudinary,url
6 Broca Piloto Avellanador.png,6_broca_piloto_avellanador,https://res.cloudinary.com/ferrremas/image/upload/v1743205735/productos/6_broca_piloto_avellanador.png
Atornillador 4V 29.jpg,atornillador_4v_29,https://res.cloudinary.com/ferrremas/image/upload/v1743205737/productos/atornillador_4v_29.jpg
Esmeril angular eléctrico 4.png,esmeril_angular_el_ctrico_4,https://res.cloudinary.com/ferrremas/image/upload/v1743205738/productos/esmeril_angular_el_ctrico_4.png
Juego Herramientas Llave Dado Universa.png,juego_herramientas_llave_dado_universa,https://res.cloudinary.com/ferrremas/image/upload/v1743205740/productos/juego_herramientas_llave_dado_universa.png
Kit Set Juego Destornilladores 18.png,kit_set_juego_destornilladores_18,https://res.cloudinary.com/ferrremas/image/upload/v1743205741/productos/kit_set_juego_destornilladores_18.png
Kit Taladros Inalámbricos Percutor.jpg,kit_taladros_inal_mbricos_percutor,https://res.cloudinary.com/ferrremas/image/upload/v1743205743/productos/kit_taladros_inal_mbricos_percutor.jpg
Lijadora orbital eléctrica 200W.jpg,lijadora_orbital_el_ctrica_200w,https://res.cloudinary.com/ferrremas/image/upload/v1743205744/productos/lijadora_orbital_el_ctrica_200w.jpg
Lijadora roto orbital.jpg,lijadora_roto_orbital,https://res.cloudinary.com/ferrremas/image/upload/v1743205745/productos/lijadora_roto_orbital.jpg
Martillo carpintero 13 Oz acero.png,martillo_carpintero_13_oz_acero,https://res.cloudinary.com/ferrremas/image/upload/v1743205745/productos/martillo_carpintero_13_oz_acero.png
Motosierra de poda.jpg,motosierra_de_poda,https://res.cloudinary.com/ferrremas/image/upload/v1743205747/productos/motosierra_de_poda.jpg
Motosierra eléctrica 1850W.jpg,motosierra_el_ctrica_1850w,https://res.cloudinary.com/ferrremas/image/upload/v1743205747/productos/motosierra_el_ctrica_1850w.jpg
Máquina Cosedora De Sacos.jpg,m_quina_cosedora_de_sacos,https://res.cloudinary.com/ferrremas/image/upload/v1743205748/productos/m_quina_cosedora_de_sacos.jpg
Rotomartillo eléctricto 820W.jpg,rotomartillo_el_ctricto_820w,https://res.cloudinary.com/ferrremas/image/upload/v1743205748/productos/rotomartillo_el_ctricto_820w.jpg
Set 47 Pcs Atornillar.png,set_47_pcs_atornillar,https://res.cloudinary.com/ferrremas/image/upload/v1743205749/productos/set_47_pcs_atornillar.png
Set De Destornilladores Toughseries 8.png,set_de_destornilladores_toughseries_8,https://res.cloudinary.com/ferrremas/image/upload/v1743205751/productos/set_de_destornilladores_toughseries_8.png
Set de herramientas manuales acero 7 piezas.png,set_de_herramientas_manuales_acero_7_piezas,https://res.cloudinary.com/ferrremas/image/upload/v1743205753/productos/set_de_herramientas_manuales_acero_7_piezas.png
Sierra circular eléctrica 7.jpg,sierra_circular_el_ctrica_7,https://res.cloudinary.com/ferrremas/image/upload/v1743205754/productos/sierra_circular_el_ctrica_7.jpg
Taladro Inalámbrico Percutor 10 mm.jpg,taladro_inal_mbrico_percutor_10_mm,https://res.cloudinary.com/ferrremas/image/upload/v1743205755/productos/taladro_inal_mbrico_percutor_10_mm.jpg
tss.jpg,tss,https://res.cloudinary.com/ferrremas/image/upload/v1743205755/productos/tss.jpg
